work_code	balance	actually_printed	assumed_printed	other_in	out	stocktakes	full_book_title
spbk0000094	144	4440	0	93	-4389	2529; 618; 249; 249; 153; 135; 3; 18; 48; 39; 30; 24	"Anarchie (l') médicinale, ou La Médicine considérée comme nuisable à la société"
spbk0003632	148	0	793	2	-647	445; 295; 210; 181; 169	Lettres d'un voyageur anglois
spbk0000382	156	4168	0	20	-4032	4; 4	Confidences (les) d'une jolie femme
spbk0002939	164	0	1065	51	-952	410; 410; 3; 238; 288; 5; 246; 26; 201	Brouette (la) de vinaigrier
spbk0001891	177	5562	0	348	-5733	3534; 2928; 1920; 870; 18; 588; 546; 504; 438; 378; 18; 354; 300; 192	"Histoire du patriotisme françois, ou Nouvelle histoire de France"
spbk0001514	180	500	0	55	-375	52; 14; 76; 62; 42; 39	"Manière de faire le pain de pommes de terre, sans mélange de farine"
spbk0002952	180	1500	0	1544	-2864	1736; 1076; 360; 4; 24	"Dictionnaire de chymie: contenant la théorie et la pratique de cette science, son application à la physique, à l'histoire naturelle, à la médecine, et aux arts dépendans de la chymie"
spbk0001111	188	750	0	2	-564	323; 414; 274; 259; 252	Histoire de la Moldavie et de la Valachie: avec une dissertation sur l'état actuel de ces deux provinces
spbk0002493	189	2026	0	90	-1927	340; 150; 150; 122; 18; 28; 24; 14	"Voyage à l'isle de France, à l'isle de Bourbon, au cap de Bonne-Espérance"
spbk0000308	193	0	1000	23	-830	361; 361; 295; 264; 5; 234; 20; 213; 104; 95	Célibataire (le)
spbk0001294	219	0	514	1	-296	501; 180; 321; 100	Jeux (les) d'enfans: poème
spbk0000697	224	779	0	107	-662	644; 304; 4; 279; 19; 260; 50; 43; 36	"Collection de divers éloges publiés à l'occasion du prix proposé par l'Académie Françoise, en 1777, pour le meilleur éloge du chancelier de L'Hopital"
spbk0003794	227	0	294	0	-67	289; 153; 148	Moyens (des) d'indemniser l'innocence injustement accusée & punie
spbk0003700	240	9000	0	3312	-12072	2172; 2988; 660; 108; 36	Dictionnaire raisonné universel d'histoire naturelle
spbk0001603	248	0	7105	538	-7395	2093; 2499; 980; 1359; 36; 605; 340; 171; 99; 42	"Morale (la) évangélique, ou Discours sur le sermon de Jésus-Christ sur la montagne"
